Category,Descript,DayOfWeek,PdDistrict,Resolution,Address,Severity,hour,year,month,day,latitude,longitude,Date
SUSPICIOUS OCC,suspicious occurrence,Monday,TARAVAL,NONE,3100 Block of NORIEGA ST,,15,2003,1,6,37.753373642343504,-122.49738281525,2003-01-06
DRUG/NARCOTIC,illegal substances,Monday,TARAVAL,"ARREST, BOOKED",LAKEVIEW AV / SAN JOSE AV,Severity 3,15,2003,1,6,37.7161694707236,-122.450378171669,2003-01-06
NON-CRIMINAL,"death report, cause unknown",Monday,RICHMOND,NONE,700 Block of 8TH AV,Severity 1,15,2003,1,6,37.7743136996811,-122.466018719921,2003-01-06
LARCENY/THEFT,grand theft locked auto,Monday,CENTRAL,NONE,600 Block of CALIFORNIA ST,Severity 3,15,2003,1,6,37.792616896353,-122.40504699065,2003-01-06
LARCENY/THEFT,petty theft shoplifting,Monday,TENDERLOIN,"ARREST, CITED",200 Block of ELLIS ST,Severity 3,15,2003,1,6,37.785230998983295,-122.410345341262,2003-01-06
NON-CRIMINAL,lost property,Monday,TENDERLOIN,NONE,500 Block of ELLIS ST,Severity 1,15,2003,1,6,37.784689282473,-122.414615262229,2003-01-06
LARCENY/THEFT,grand theft building,Monday,CENTRAL,NONE,2300 Block of POWELL ST,Severity 3,15,2003,1,6,37.8062916373269,-122.412115921149,2003-01-06
LARCENY/THEFT,grand theft building,Monday,RICHMOND,NONE,5800 Block of GEARY BL,Severity 3,15,2003,1,6,37.7800874706475,-122.48206115957198,2003-01-06
LARCENY/THEFT,petty theft prior,Monday,SOUTHERN,"ARREST, BOOKED",400 Block of 10TH ST,Severity 3,14,2003,1,6,37.7709130566165,-122.410541166987,2003-01-06
DRUG/NARCOTIC,illegal substances,Monday,SOUTHERN,"ARREST, CITED",300 Block of JESSIE ST,Severity 3,14,2003,1,6,37.784619649971205,-122.405063026261,2003-01-06
OTHER OFFENSES,parole violation,Monday,MISSION,"ARREST, BOOKED",24TH ST / BRYANT ST,Severity 2,14,2003,1,6,37.752796998563,-122.409131939497,2003-01-06
